Task ID,Host,Executor ID,Locality,Launch Time,Finish Time,Getting Result Time,Executor Run Time,Executor Deserialize Time,JVM GC Time,Result Size,Memory Bytes Spilled,Disk Bytes Spilled,Stage ID,Task Type
5,10.0.0.13,1,PROCESS_LOCAL,1481206810285,1481206817287,0,3301,3607,0,2316,0,0,2,ResultTask
4,10.0.0.13,1,PROCESS_LOCAL,1481206810284,1481206817719,0,3753,3605,0,14606,0,0,2,ResultTask
3,10.0.0.5,3,PROCESS_LOCAL,1481206810266,1481206818047,0,4240,3459,0,8303,0,0,1,ResultTask
2,10.0.0.5,2,PROCESS_LOCAL,1481206810265,1481206818115,0,4338,3447,0,8503,0,0,1,ResultTask
1,10.0.0.5,2,PROCESS_LOCAL,1481206810251,1481206819071,0,4934,3438,0,799255,0,0,0,ResultTask
0,10.0.0.5,3,PROCESS_LOCAL,1481206810235,1481206819139,0,5162,3445,0,809337,0,0,0,ResultTask
8,10.0.0.13,1,PROCESS_LOCAL,1481206820830,1481206845182,0,24221,115,414,2450,0,0,3,ShuffleMapTask
11,10.0.0.13,1,PROCESS_LOCAL,1481206820833,1481206846357,0,25390,113,414,2450,0,0,3,ShuffleMapTask
7,10.0.0.5,2,PROCESS_LOCAL,1481206820829,1481206846976,0,26001,126,467,2448,0,0,3,ShuffleMapTask
10,10.0.0.5,2,PROCESS_LOCAL,1481206820832,1481206848622,0,27650,125,479,2448,0,0,3,ShuffleMapTask
6,10.0.0.5,3,PROCESS_LOCAL,1481206820827,1481206849322,0,28177,268,566,2448,0,0,3,ShuffleMapTask
9,10.0.0.5,3,PROCESS_LOCAL,1481206820831,1481206850101,0,28969,260,566,2448,0,0,3,ShuffleMapTask
12,10.0.0.13,1,PROCESS_LOCAL,1481206845180,1481206867729,0,22506,31,91,2450,0,0,3,ShuffleMapTask
13,10.0.0.13,1,PROCESS_LOCAL,1481206846355,1481206868979,0,22575,32,103,2450,0,0,3,ShuffleMapTask
14,10.0.0.5,2,PROCESS_LOCAL,1481206846975,1481206873341,0,26279,63,174,2448,0,0,3,ShuffleMapTask
15,10.0.0.5,2,PROCESS_LOCAL,1481206848619,1481206874204,0,25533,33,162,2448,0,0,3,ShuffleMapTask
16,10.0.0.5,3,PROCESS_LOCAL,1481206849320,1481206875296,0,25908,53,150,2448,0,0,3,ShuffleMapTask
17,10.0.0.5,3,PROCESS_LOCAL,1481206850099,1481206877796,0,27623,49,170,2448,0,0,3,ShuffleMapTask
18,10.0.0.13,1,PROCESS_LOCAL,1481206867728,1481206890716,0,22948,30,107,2450,0,0,3,ShuffleMapTask
19,10.0.0.13,1,PROCESS_LOCAL,1481206868972,1481206891187,0,22161,34,95,2450,0,0,3,ShuffleMapTask
20,10.0.0.5,2,PROCESS_LOCAL,1481206873340,1481206900278,0,26883,23,141,2448,0,0,3,ShuffleMapTask
21,10.0.0.5,2,PROCESS_LOCAL,1481206874202,1481206900886,0,26620,30,141,2448,0,0,3,ShuffleMapTask
22,10.0.0.5,3,PROCESS_LOCAL,1481206875294,1481206903585,0,28240,30,184,2448,0,0,3,ShuffleMapTask
23,10.0.0.5,3,PROCESS_LOCAL,1481206877794,1481206905183,0,27339,35,164,2448,0,0,3,ShuffleMapTask
24,10.0.0.13,1,PROCESS_LOCAL,1481206890715,1481206912723,0,21962,23,79,2450,0,0,3,ShuffleMapTask
25,10.0.0.13,1,PROCESS_LOCAL,1481206891185,1481206913430,0,22208,29,79,2450,0,0,3,ShuffleMapTask
26,10.0.0.5,2,PROCESS_LOCAL,1481206900277,1481206924405,0,24091,22,122,2448,0,0,3,ShuffleMapTask
27,10.0.0.5,2,PROCESS_LOCAL,1481206900884,1481206925837,0,24903,30,122,2448,0,0,3,ShuffleMapTask
28,10.0.0.5,3,PROCESS_LOCAL,1481206903584,1481206928271,0,24646,24,139,2448,0,0,3,ShuffleMapTask
